. Sequence file : [6t_filtered_min4_phy]

. Model of nucleotides substitution : GTR

. Initial tree : [BioNJ]


. Data	Nb of 	Likelihood	Discrete   	Proportion of	Nucleotides frequencies               	Instantaneous rate matrix              	
  set	taxa	loglk     	gamma model	invariant    	f(A)      f(C)      f(G)      f(T)    	[A---------C---------G---------T------]	

  #61	6   	-105294.38456	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04856   0.06370   0.79902   0.18584  
      	     	          	           	             	                                      	 0.07194  -0.96057   0.02662   0.86202  
      	     	          	           	             	                                      	 0.88640   0.02615  -0.97614   0.06359  
      	     	          	           	             	                                      	 0.18609   0.76438   0.05740  -1.00787  

  #62	6   	-105614.90389	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04669   0.06165   0.79946   0.18558  
      	     	          	           	             	                                      	 0.06962  -0.96077   0.03000   0.86115  
      	     	          	           	             	                                      	 0.88689   0.02947  -0.97956   0.06320  
      	     	          	           	             	                                      	 0.18583   0.76361   0.05705  -1.00648  

  #63	6   	-105333.28393	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04456   0.06407   0.79435   0.18615  
      	     	          	           	             	                                      	 0.07235  -0.96065   0.02493   0.86337  
      	     	          	           	             	                                      	 0.88121   0.02449  -0.97406   0.06835  
      	     	          	           	             	                                      	 0.18641   0.76558   0.06170  -1.01368  

  #64	6   	-105349.23857	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.03919   0.05814   0.78777   0.19328  
      	     	          	           	             	                                      	 0.06566  -0.96621   0.02782   0.87273  
      	     	          	           	             	                                      	 0.87392   0.02733  -0.96353   0.06228  
      	     	          	           	             	                                      	 0.19355   0.77388   0.05621  -1.02364  

  #65	6   	-105296.66613	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04203   0.05596   0.79021   0.19587  
      	     	          	           	             	                                      	 0.06319  -0.96145   0.02550   0.87276  
      	     	          	           	             	                                      	 0.87662   0.02505  -0.96305   0.06138  
      	     	          	           	             	                                      	 0.19613   0.77390   0.05541  -1.02545  

  #66	6   	-105238.09322	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04821   0.06313   0.79594   0.18914  
      	     	          	           	             	                                      	 0.07129  -0.96696   0.02540   0.87028  
      	     	          	           	             	                                      	 0.88298   0.02495  -0.96500   0.05707  
      	     	          	           	             	                                      	 0.18939   0.77170   0.05151  -1.01261  

  #67	6   	-105352.93569	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04687   0.07571   0.79720   0.17395  
      	     	          	           	             	                                      	 0.08550  -0.97113   0.01912   0.86651  
      	     	          	           	             	                                      	 0.88438   0.01879  -0.97159   0.06842  
      	     	          	           	             	                                      	 0.17419   0.76836   0.06176  -1.00431  

  #68	6   	-105602.65667	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.02697   0.06786   0.77434   0.18477  
      	     	          	           	             	                                      	 0.07663  -0.98092   0.02480   0.87949  
      	     	          	           	             	                                      	 0.85902   0.02437  -0.95555   0.07217  
      	     	          	           	             	                                      	 0.18502   0.77987   0.06514  -1.03003  

  #69	6   	-105694.04900	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05065   0.06143   0.79382   0.19539  
      	     	          	           	             	                                      	 0.06937  -0.95214   0.02792   0.85484  
      	     	          	           	             	                                      	 0.88063   0.02743  -0.97511   0.06705  
      	     	          	           	             	                                      	 0.19566   0.75802   0.06052  -1.01419  

  #70	6   	-105051.97515	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05290   0.06017   0.80275   0.18997  
      	     	          	           	             	                                      	 0.06795  -0.95706   0.02347   0.86564  
      	     	          	           	             	                                      	 0.89054   0.02305  -0.97191   0.05832  
      	     	          	           	             	                                      	 0.19023   0.76759   0.05264  -1.01047  

  #71	6   	-105001.93721	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04949   0.06128   0.80424   0.18398  
      	     	          	           	             	                                      	 0.06920  -0.96016   0.02447   0.86649  
      	     	          	           	             	                                      	 0.89219   0.02404  -0.97650   0.06028  
      	     	          	           	             	                                      	 0.18423   0.76834   0.05441  -1.00698  

  #72	6   	-105265.45672	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05254   0.06092   0.80156   0.19006  
      	     	          	           	             	                                      	 0.06879  -0.95718   0.02227   0.86612  
      	     	          	           	             	                                      	 0.88922   0.02188  -0.97052   0.05942  
      	     	          	           	             	                                      	 0.19032   0.76801   0.05364  -1.01197  

  #73	6   	-105520.89842	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.05325   0.06786   0.80241   0.18298  
      	     	          	           	             	                                      	 0.07664  -0.95146   0.02366   0.85116  
      	     	          	           	             	                                      	 0.89016   0.02324  -0.98536   0.07196  
      	     	          	           	             	                                      	 0.18323   0.75475   0.06495  -1.00293  

  #74	6   	-104771.61887	No         	0.000    	 0.26416   0.23392   0.23812   0.26380	-1.04851   0.06104   0.80606   0.18142  
